id_lotto,id_pa,id_be,object,id_award_procedure,amount,start_date,id_lsf,id_forma_giuridica,cpv,n_winners
2258,7717877,2998,93140,"PACEMAKER BICAMERALE RATE-RESPONSIVE (DDD-R) COMPRENSIVO DI RELATIVI ELETTROCATETERI, CON CONTROLLO REMOTO, COMPATIBILE (CONDITIONAL) CON RMN ""FULL BODY"", PER PAZIENTI CHE NECESSITANO DI UN DEVICE CON CARATTERISTICHE TECNICHE AVANZATE",1,240000.0,2016-01-01,3,135,33,1
2263,7942453,30971,101247,SACCHI TIPO SHOPPER IN MATERIALE BIODEGRADABILE COMPOSTABILE A NORMA UNI EN 13432:2002 (NO CARTA) ,1,229320.0,2017-09-28,3,154,19,1
2352,2629099,25560,574975,USCITA AD ASIAGO DEL 27/4/2017,1,1000.0,2017-05-08,2,90,63,1
2477,4757755,2435,98771,"Guide coronariche  specifiche per il trattamento delle occlusioni croniche totali (CTO). Disponibilità di diverse tipologie di punte, diametri e grammature.",1,78000.0,2017-05-01,3,139,33,1
2560,8757754,11261,97032,SERVIZIO DI ASILO NIDO COMUNALE ``GIROTONDO`` - AGGIUDICAZIONE.,1,4500000.0,2018-09-01,2,15,85,1
2667,3159234,3465,17138,"FORNITURA 6 BUONI LIBRI (4 da euro 500,00, 4 da euro 300,00 e 4 da euro 200,00) (RDO in MEPA n. 1706616 DEL 07/11/2017; ORD. INTERNO N. 280/2017; PREN. N. 355/2017) - CIG Z0A1FE3DB9",1,4000.0,2017-05-01,3,28,22,1
2692,16781619,11893,99262,IMPEGNO DI SPESA PER CANONI ASSICURATIVI SCADENZA 31/12/2017 - ITAS MUTUA SPA FURTO,1,1000.0,2017-12-15,2,15,66,1
2773,10744621,6486,126908,"PRESA ATTO AGGIUDICAZIONE DEFINITIVA APPALTO RELATIVO AL SERVIZIO DI TRASPORTO SCOLASTICO AA.SS. 2017/18, 2018/19, 2019/20 - IMPEGNO DI SPESA  A FAVORE DITTA COOPERATIVA SOCIALE SERVIZI ASSOCIATI CSSA SOC. COOP A R.L. DI SPINEA",1,684800.0,2017-10-13,2,15,60,1
2878,16827608,2435,95896,Cotonini chirurgici per neurochirurgia ID 14P005,1,80410.0,2016-11-01,3,139,33,1
3084,1039543,12124,512605,AFFIDAMENTO GESTIONE SERVIZIO AFFIDO C.A.S.F. PADOVA OVEST E RETI DI FAMIGLIA:DETERMINAZIONE A CONTRARRE,1,495009.9,2016-04-01,2,15,85,2
3142,11443596,12487,87866,FORNITURA CARTELLA ELETTORALE REFERENDUM COSTITUZIONALE 04/12/2016 DALLA DITTA MAGGIOLI MODULGRAFICA,1,226.07,2016-10-12,3,15,22,1
3163,9660229,14198,91565,AGGIUDICAZIONE GARA PER LA FORNITURA LIBRARIA CENTRALIZZATA E COORDINATA,1,200000.0,2017-12-06,3,75,22,1
3399,3605162,25560,87542,ACQUISTO BIGLIETTI VIAGGIO STUDIO TENERIFE,1,10000.0,2017-06-13,2,90,63,1
4022,11008632,9533,100577,INTERVENTI TECNICI DI MANUTENZIONE MACCHINE D'UFFICIO E NOLEGGIO FOTOCOPIATORI PER IL PERIODO GENNAIO-AGOSTO 2017 A CURA DELLA DITTA TEAM UFFICIO DI MONTEBELLUNA,1,579.38,2017-10-01,2,15,50,1
4337,1775107,8079,87602,Fornitura di un autocarro per il servizio viabilità - LIQUIDAZIONE FATTURA,1,123000.0,2018-07-04,3,15,34,1
4612,18373218,35402,96459,GARA CRAS NUTRIZIONALI II - LOTTO 4 FORMULA PER NUTRIZIONE ENTERALE (PER SONDA) IPERCALORICA CON FIBRA,1,500.0,2016-07-01,3,135,33,1
4751,13233810,21023,115085,"Determina Dirigenziale per l'affidamento del ""Servizio di noleggio pullman per viaggi d'istruzione, visite e uscite didattiche per l'a.s. 2016/17",1,3300.0,2017-01-11,2,103,60,1
4854,941866,2435,93966,"Catetere a palloncino  non  compliante per PTA, tecnica over the wire, diametro del palloncino da 14  a 25  mm, a spalla corta e basso profilo, compatibile con guida da 0.035",1,60000.0,2017-05-01,3,139,33,1
4856,1502912,2435,93966,"CATETERE A PALLONCINO  ULTRA NON  COMPLIANTE PER PTA DI GROSSI VASI, TECNICA OVER THE WIRE ,AD ALTA PRESSIONE, DIAMETRO DEL PALLONCINO DA 12 MM A  25 CIRCA, LUNGHEZZA DEL PALLONCINO DA MM 20 A 60  CIRCA, A SPALLA LUNGA E BASSO PROFILO, COMPATIBILE CON GUIDA DA 0.035",1,171000.0,2017-05-01,3,139,33,1
4860,3560505,2435,213849,"CONNETTORE  A Y IN POLICARBONATO TRASPARENTE, COMPLETO DI VIA COASSIALE E VIA DI ACCESSO LATERALE (KIT COMPLETO DI PROLUNGA, AGO INTRODUTTORE E TORQUE). LA VIA COASSIALE DEVE ESSERE CHIUSA DA UNA VALVOLA A SCATTO (NON A VITE) PER PROCEDURE ENDOVASCOLARI",1,16200.0,2017-05-01,3,139,33,1
4861,3875651,2435,282603,"Stent periferico ad espansione passiva su palloncino, tecnica OTW su guida 0.014'-0.018', a basso profilo, lunghezze varie",1,39600.0,2017-05-01,3,139,33,1
4863,4771460,2435,213849,"Sistema di protezione embolica a cestello con braccia di sostegno, auto espandibile in nitinol, diametri vari",1,88800.0,2017-05-01,3,139,33,1
4864,4912248,2435,282603,"Kit Introduttore da arteria femorale valvolato da 4 a 11 F diametro  per guida da 0.038',con  via laterale di lavaggio, lunghezza da 11 a 23 cm, con ago angiografico lunghezza cm 7 (disponibile anche separatamente), e  guida  metallica",1,199800.0,2017-05-01,3,139,33,1
4865,5587258,2435,93140,"Guida  per interventistica periferica a medio/elevato supporto,  punta retta,  punta morbida corta, diametro da 0.018', lunghezza cm 180 circa",1,36000.0,2017-05-01,3,139,33,1
4866,5676472,2435,96136,"Rubinetto angiografico ad una via, ad alta pressione 1200 psi, attacco luer lock e chiusura a scatto",1,27000.0,2017-05-01,3,139,33,1
4867,6095034,2435,282603,"Catetere a palloncino tecnica 'monorail'  per PTA, a basso profilo, diametro del palloncino da 5 a 7 mm circa, lunghezze del palloncino varie, compatibile con guida a partire da 0.014', lunghezza shaft non inferiore a cm 140.",1,80100.0,2017-05-01,3,139,33,1
4870,8800262,2435,89531,"Sistema auto espandibile completo per  embolizzazione vascolare  periferica, comprendente dispositivo di chiusura  con singolo o doppio disco in nitinol, misure varie, riposizionabile,  con sistema di introduzione a basso profilo",1,162000.0,2017-05-01,3,139,33,1
4874,10350516,2435,93140,"Guide intracoronariche per PTCA di diametro 0.014' idrofiliche, anche ad elevato supporto, totalmente radiopache",1,42300.0,2017-05-01,3,139,33,1
4876,11036635,2435,282603,"INTRODUTTORE VENOSO NON VALVOLATO DA 6 A 7  FR, LUNGHEZZA CM 11 CIRCA.",1,9600.0,2017-05-01,3,139,33,1
4880,12270765,2435,93140,"Guida tipo Amplatz, ad elevata rigidità, 0.035' e 0.038', varie conformazioni di punta, rette e a J,  lunghezza da 145 a 260 cm, punta flessibile da cm 1 a cm 3.",1,136500.0,2017-05-01,3,139,33,1
4881,14960852,2435,253892,"KIT INTRODUTTORE DA ARTERIA FEMORALE, VALVOLATO, DA 4 A 11 F CON  VIA LATERALE DI LAVAGGIO, (PER ACCESSI CALCIFICI/STENOTICI/VASCULOPATIE) LUNGHEZZA  CM 10  CIRCA,  GUIDA  METALLICA. ",1,78000.0,2017-05-01,3,139,33,1
4882,15065595,2435,93966,"Stent periferico ricoperto (con PTFE), ad espansione passiva, premontato su palloncino, lunghezza da mm 16 a 60 circa, diametro da mm 5 a 12 circa.",1,300000.0,2017-05-01,3,139,33,1
4894,13959050,2987,89531,"Gara procedura aperta per la fornitura di  Pace Makers e Defibrillatori   per l’Azienda Ulss n. 9 di Treviso,  per il periodo di 36 mesi. Rinnovabile anche di anno in anno per ulteriori 36 mesi.",1,241500.0,2016-05-09,3,135,33,2
4895,13959050,2987,92249,"Gara procedura aperta per la fornitura di  Pace Makers e Defibrillatori   per l’Azienda Ulss n. 9 di Treviso,  per il periodo di 36 mesi. Rinnovabile anche di anno in anno per ulteriori 36 mesi.",1,241500.0,2016-05-09,3,135,33,2
4970,4452273,31568,86152,FORNITURA GASOLIO PER AUTOTRAZIONE E DA RISCALDAMENTO PER IL PERIODO 01/06/2018-01/06/2019 CON POSSIBILITÀ DI RINNOVO FINO AD UN MASSIMO DI ULTERIORI 12 MESI,1,10020200.0,2018-06-01,3,157,9,1
5065,4609541,12073,452309,SERVIZIO DI GESTIONE DELLA CASA DI ACCOGLIENZA \\\\&quot;G. BAKHITA\\\\&quot; PER IL PERIODO 1.7.2016 - 30.6.2020.,1,1016000.0,2016-07-01,2,15,85,1
5291,6860000,4554,91498,ACQUISTO DI 1 TRATTORE CON TRINCIATRICE POSTERIORE LATERALE,1,58000.0,2017-12-29,3,14,34,1
5324,7924745,2987,512605,"SERVIZIO PER LA GESTIONE DEL CENTRO PER LA DIAGNOSI E LA RIABILITAZIONE FUNZIONALE DELL'AUTISMO E DEI DISTURBI DELLO SPETTRO AUTISTICO 'ADELINA SAMAROTTO' DELL'AZIENDA ULSS N. 9 DI TREVISO, PER IL PERIODO DI 36 MESI",1,926994.11,2017-04-01,2,135,85,1
5526,3286191,21293,331247,CONFERIMENTO DI RESPONSABILE DEL SERVIZIO PREVENZIONE E PROTEZIONE AI SENSI DEL D.LGS.81 2008,1,700.0,2017-11-22,2,103,75,1
5650,325031,14443,3079,SERVIZIO INTEGRATO DI GESTIONE DELLA TESORERIA E DI INCASSO DELLA CONTRIBUENZA CONSORZIALE,1,600000.0,2016-03-11,2,75,66,1
5916,2835217,1131,100104,"Servizio di analisi, raccolta, trasporto e smaltimento di rifiuti costituiti da fanghi non stabilizzati, disidratati umidi prodotti dal trattamento di acque reflue urbane.",1,1398900.0,2017-05-31,2,154,90,1
5940,19728711,2469,87243,"RINNOVO CONTRATTUALE DI 24 MESI A SEGUITO DELL`AUTORIZZAZIONE DELLA COMMISSIONE REGIONALE PER L`INVESTIMENTO IN TECNOLOGIA ED EDILIZIA (C.R.I.T.E.) DELLA GARA A PROCEDURA APERTA PER LA FORNITURA TRIENNALE DI MATERIALE PER NEUROCHIRURGIA, SUDDIVISA IN",1,147540.98,2018-12-03,3,140,33,1
5963,4183578,32637,112256,LOTTO N. 2 - SERVIZIO RISTORAZIONE SCOLASTICA PER CONTO COMUNE DI COLOGNOLA AI COLLI,1,458251.0,2017-03-01,2,20,55,1
6034,14982786,910,90112,"Fornitura quadriennale, in diciassette lotti, di materiali d'uso e prodotti di consumo da laboratorio ambientale: materiale per preparativa, purificazione campioni (colonnine SPE) (Lotto 6)",1,155025.0,2018-04-01,3,2,38,2
6035,14982786,910,168003,"Fornitura quadriennale, in diciassette lotti, di materiali d'uso e prodotti di consumo da laboratorio ambientale: materiale per preparativa, purificazione campioni (colonnine SPE) (Lotto 6)",1,155025.0,2018-04-01,3,2,38,2
6162,2823978,16686,115626,Appalto n. 40/2017. Servizio di manutenzione ordinaria e straordinaria gruppi di cogenerazione installati presso impianti di ETRA SpA. Lotto 2 - impianto cogenerazione centro biotrattamenti Camposamopiero - RISPOSTA  ECONOMICA,1,1038525.0,2018-01-15,2,176,50,1
6179,13148538,2996,485,"Procedura aperta per i lavori di realizzazione del nuovo parcheggio esterno a servizio dei dipendenti del Presidio Ospedaliero S. Antonio dell'Azienda Ulss 16 di Padova: aggiudicazione all'impresa PORFIREA SRL di Sassuolo (MO) per l'importo complessivo di euro 670.300,76 IVA compresa.",1,773143.83,2016-07-26,1,135,45,1
6322,15480538,2404,350960,"SERVIZIO DI RECUPERO DEL RIFIUTO LOTTO N° 1 -  CER 20.01.08 ""BIODEGRADABILE DI CUCINE E MENSE",1,2220000.0,2018-12-01,2,176,90,1
6377,8346887,363,95553,"Servizi di riparazione, manutenzione e sostituzione parti meccaniche, oleodinamiche, elettriche e fornitura ricambi, riparazione e fornitura di pneumatici, nuovi e ricoperti, per i mezzi di A.S.V.O. S.P.A. LOTTO 4 - I' annualit",1,13600.0,2018-01-11,2,176,50,3
6378,8346887,363,259082,"Servizi di riparazione, manutenzione e sostituzione parti meccaniche, oleodinamiche, elettriche e fornitura ricambi, riparazione e fornitura di pneumatici, nuovi e ricoperti, per i mezzi di A.S.V.O. S.P.A. LOTTO 4 - I' annualit",1,13600.0,2018-01-11,2,176,50,3
6415,11486912,2404,114257,RICAMBI ORIGINALI ATTREZZ. COMPATTANTI MARCA NORD ENGINEERING - LOTTO 6,1,30000.0,2018-04-02,3,176,34,1
6424,48047753,26182,120421,Pagamento fattura n. 439/Pa del 31/12/2018 per voli viaggio a Londra periodo marzo 2019,1,19672.0,2018-12-31,3,90,63,1
6739,887698672,1701956,322489,OPERA PUBBLICA. LAVORI DI REALIZZAZIONE STRADA DI ACCESSO ALLA CONTRADA MARCHESINI.,1,252870.0,2016-10-28,1,13,45,1
6987,11606433,2997,146032,"GARA TELEMATICA A PROCEDURA APERTA PER L'AFFIDAMENTO DEL NOLEGGIO A LUNGO TERMINE DI STRUMENTARIO CHIRURGICO E ACCESSORI PER LA STERILIZZAZIONE, DEL SERVIZIO DI GESTIONE E MANUTENZIONE DI DISPOSITIVI MEDICI E ACCESSORI E DI FORNITURA DI ALCUNI CONSUMABILI CRITICI AI FINI DEL PROCESSO.",1,2472066.6666666665,2018-04-04,2,135,33,3
6988,11606433,2997,104994,"GARA TELEMATICA A PROCEDURA APERTA PER L'AFFIDAMENTO DEL NOLEGGIO A LUNGO TERMINE DI STRUMENTARIO CHIRURGICO E ACCESSORI PER LA STERILIZZAZIONE, DEL SERVIZIO DI GESTIONE E MANUTENZIONE DI DISPOSITIVI MEDICI E ACCESSORI E DI FORNITURA DI ALCUNI CONSUMABILI CRITICI AI FINI DEL PROCESSO.",1,2472066.6666666665,2018-04-04,2,135,33,3
6989,11606433,2997,115002,"GARA TELEMATICA A PROCEDURA APERTA PER L'AFFIDAMENTO DEL NOLEGGIO A LUNGO TERMINE DI STRUMENTARIO CHIRURGICO E ACCESSORI PER LA STERILIZZAZIONE, DEL SERVIZIO DI GESTIONE E MANUTENZIONE DI DISPOSITIVI MEDICI E ACCESSORI E DI FORNITURA DI ALCUNI CONSUMABILI CRITICI AI FINI DEL PROCESSO.",1,2472066.6666666665,2018-04-04,2,135,33,3
7022,1336494,2435,282603,"Guide per interventistica pediatrica a medio/elevato supporto, punta superfloppy  inferiore a 4 cm, con diametro da 0.014",1,72000.0,2017-05-01,3,139,33,1
7024,7750380,33034,95783,BS 301-14/MS SERVIZIO DI ESPURGO NELLE AREE DI COMPETENZA DEL GRUPPO VERITAS S.P.A.,1,1486000.0,2016-02-01,2,176,90,1
7126,15215263,910,95651,"Fornitura quadriennale, in diciassette lotti, di materiali d'uso e prodotti di consumo da laboratorio ambientale: standard diossine (Lotto 11)",1,218625.0,2018-04-01,3,2,24,1
7151,5007045,27428,372270,GARA - PROCEDURA APERTA - SCAMBIO CILE,1,16940.0,2017-04-11,2,117,63,1
7341,7125299,33034,91472,"SERVIZIO DI MANUTENZIONE STRAORDINARIA DI APPARECCHIATURE ELETTROMECCANICHE ED OPERE IDRAULICHE A SERVIZIO DEGLI IMPIANTI DI DEPURAZIONE E DELLE STAZIONI DI SOLLEVAMENTO GESTITE DA ASI S.P.A., E PRESTAZIONE DI UN SERVIZIO DI PRONTA REPERIBILITÀ",1,230300.0,2017-08-01,2,176,50,1
7499,9674910,8389,122373,ORGANIZZAZIONE DOPOSCUOLA A.S. 2018/2019,1,10929.6,2018-07-03,2,15,80,1
7677,3400864,23610,85816,FATTURA N. 25E DEL 15 MARZO 2016 PER VIAGGIO DI ISTRUZIONE A MILANO DAL 15 AL 17 MARZO 2016,1,9963.0,2016-01-07,2,103,63,1
7845,17886520,12796,90905,"Fornitura di n. 2 veicoli per il Comune di Treviso, affidamento alla ditta Industrial Cars Automobili S.r.l. di Thiene per l'importo complessivo pari ad € 31.484,04 (Iva compresa).",1,32000.0,2018-12-21,3,15,34,1
7867,11291838,13081,314492,(C.I.14019) INTERVENTI DI RIPRISTINO FUNZIONALE E MESSA IN SICUREZZA VIABILITÀ TERRAFERMA,1,2209310.0,2018-10-31,1,15,45,1
7935,15014650,30146,177625,REALIZZAZIONE DI UN OPERA DI INVASO SUL F. BACCHIGLIONE A MONTE DI V.LE DIAZ NEI COMUNI DI VICENZA E CALDOGNO,1,9559748.68,2017-07-04,1,19,45,1
8223,524473,13164,457650,Approvazione spesa per accoglienza minori e madri con minori in situazioni multiproblematiche a rischio e/o in stato di abbandono presso strutture educative residenziali. Approvazione impegno di spesa mese di ottobre 2016,1,39744.0,2016-10-01,2,15,85,1
8292,6035416,910,90112,"Fornitura quadriennale, in diciassette lotti, di materiali d'uso e prodotti di consumo da laboratorio ambientale: prodotti chimici da laboratorio, solventi, acidi, basi, reattivi vari (Lotto 3)",1,228562.5,2018-04-01,3,2,24,2
8293,6035416,910,168003,"Fornitura quadriennale, in diciassette lotti, di materiali d'uso e prodotti di consumo da laboratorio ambientale: prodotti chimici da laboratorio, solventi, acidi, basi, reattivi vari (Lotto 3)",1,228562.5,2018-04-01,3,2,24,2
8414,3313841,626,92554,REVISIONE MOTORE MARINO AIFO 8210 M22.30,1,54000.0,2017-11-13,2,176,42,1
8923,4649746,13118,122373,"POSTI NIDO IN CONVENZIONE - ANNI EDUCATIVI 2016/2017, 2017/2018 E 2018/2019 - CIRCOSCRIZIONE 3^ C",1,47035.0,2016-09-01,2,15,80,2
9285,4857481,2469,90446,"GARA N. 110/2015 - PROCEDURA APERTA SECONDO LA NORMATIVA EUROPEA PER LA FORNITURA TRIENNALE, RINNOVABILE PER ULTERIORI 24 MESI, DI SISTEMI DI DRENAGGIO - VENTIDUE LOTTI - AGGIUDICAZIONE DEFINITIVA - IMPORTO COMPLESSIVO   995.129,60 IVA COMPRESA.",1,8500.0,2016-08-01,3,140,33,1
9361,11154175,26454,253032,"Pagamento Fattura n.2016-TER-94 del 18/04/2016-SALDO VIAGGIO di ISTRUZIONE in CAMPANIA 16/20 apr. 2016 4^ B, C L.S.",1,13500.0,2016-04-28,2,90,63,1
10228,4766265,16686,105014,"BUSTA ECONOMICA - Gara 104/2016. Consegna, gestione e stoccaggio contenitori rifiuti.",1,1678273.63,2017-04-18,2,176,63,1
10345,5453503,16272,96142,"SERVIZI DI RITIRO, RECUPERO TRATTAMENTO E/O SMALTIMENTO DELLE FRAZIONI ORGANICO E VERDE DEI RIFIUTI BARICENTRO PORTO VIRO (RO)",1,929940.0,2016-08-16,2,154,90,1
10399,717982165,2988,89801,LAVORI PER REALIZZAZIONE DEL NUOVO PRONTO SOCCORSO OSPEDALE DI DOLO (VE).,1,3532866.72,2017-10-26,1,135,45,1
10464,8688019,11580,126908,"Procedura aperta sopra soglia comunitaria per l'affidamento in appalto del Servizio di trasporto scolastico - dal 01.01.2018 al 31.08.2020 relativo agli anni
scolastici 2017/2018 - 2018/2019 - 2019/2020",1,518400.0,2018-01-01,2,15,60,1
10516,4331255,1131,455866,Lavori di manutenzione ordinaria e realizzazione allacciamenti con servizio di pronto intervento sulle reti di acquedotto e fognatura. Lotto 4 Area Est,1,3516048.0,2017-06-05,1,154,45,1
10682,15024244,21205,89049,ACQUISTO MATERIALE PULIZIA PER TUTTO LI.C.,1,10000.0,2016-01-01,3,103,39,1
11543,1512577,8758,86481,FORNITURA VESTIARIO DI SERVIZIO PER PERSONALE DELLA POLIZIA LOCALE DEL COMUNE DI JESOLO. PROCEDIMENT,1,17800.0,2018-08-31,3,15,18,1
11715,9708982,32637,112256,LOTTO N. 4 - SERVIZIO RISTORAZIONE SCOLASTICA PER CONTO COMUNE DI MEZZANE DI SOTTO,1,71695.1,2017-09-01,2,20,55,1
11757,16521864,25560,102658,acquisto lavagna lim,1,1000.0,2017-11-08,3,90,32,1
11790,7717383,2435,95527,"Spirali in nichel-cromo,  libere a flusso o a spinta, per embolizzazione periferica , diametri  vari da 0.035' a 0.038',  lunghezze varie , compatibili con RMN.",1,84600.0,2017-05-01,3,139,33,1
11936,12328496,25602,222101,FT 12-PA - 220318 - Noleggio Materiale per Corso Antincendio ITES EINAUDI (160318 + 220318) - Progetto ISSA Studenti IPIA GIORGI,1,912.0,2018-04-04,2,90,37,1
12439,3890585,11642,92944,PROROGA CONTRATTO ASSICURATIVO POLIZZA INFORTUNI PERIODO 31.10.2016 - 31.01.2017,1,8250.0,2016-10-31,2,15,66,1
12511,2857692,12124,112256,SERVIZIO REFEZIONE SCOLASTICA SCUOLE PRIMARIE - A.S. 2017/2018,1,307131.66,2017-07-01,2,15,55,1
12712,18106587,32890,91759,COMPONENTI ELETTRONICI PER LABORATORI DIDATTICI E DI RICERCA 05/11/2018,1,850.0,2018-11-19,3,124,31,1
12833,18112126,32890,315406,COMPONENTI ELETTRONICI PER LABORATORI DIDATTICI E DI RICERCA 26/07/2018,1,1250.0,2018-08-22,3,124,31,1
12942,11020159,2435,92249,Introduttore per cateterismo transettale  per il Rif. Precedente.,1,64800.0,2017-05-01,3,139,33,1
13282,1976707,2997,87851,Servizio Approvvigionamenti: Gara regionale per la fornitura di guanti in fabbisogno alle Aziende Sanitarie del Veneto - DDR n. 58/2014 - recepimento proroga tecnica fino al 31.05.2018.,1,6426.0,2017-12-01,3,135,18,1
13322,18113579,32890,91759,Componenti Elettronici per Laboratori Didattici e Ricerca - promiscuo,1,265.0,2018-04-24,3,124,31,1
13359,12506492,22343,86743,ASSICURAZIONE ALUNNI + PERSONALE SCOLASTICO 2018/19,1,5621.0,2018-10-06,2,103,66,1
13456,1060221467,8250,122218,SERVIZI SERVER IN COMODATO D USO BACK-UP,1,1200.0,2016-01-01,2,15,72,1
13497,11300741,11529,99853,SERVIZIO DI REFEZIONE SCOLASTICA PER GLI ANNI 2013/2014-2014/2015-2015/2016. DETERMINAZIONE A CONTRATTARE E APPROVAZIONE DEGLI ATTI DI GARA,1,320990.27,2016-01-01,2,15,55,1
13516,6332997,23610,84527,TE.MA Ufficio SRL - Saldo costo copie noleggio fotocopiatrici anno 2020,1,12432.0,2017-01-01,2,103,30,1
13783,3410167,626,92554,REVISIONE MOTORE MARINO AIFO 8281 M32 CON ALTERNATORE M2BM315 SR4,1,54000.0,2017-11-13,2,176,42,1
14309,3024882,27067,94566,CONFERMA PULLMAN DITTA GARBELLINI SRL PER USCITTA DIDATTICA ALLOPIFICIO GOLINELLI A BOLOGNA IL GIORNO 23/01/2018. ALUNNI 34 + 2 DOCENTI ACCOMPAGNATORI,1,318.18,2017-12-01,2,90,60,1
14473,732833,582,91174,Fornitura gas metano per l'anno 2017.,1,2167000.0,2017-01-17,3,176,24,1
14810,15392418,2990,96168,SERVIZIO DI MANUTENZIONE DEL SOFTWARE DATABASE ORACLE,1,101546.0,2018-09-14,2,135,72,1
15101,9624737,11034,85811,FORNITURA SUITE APPLICATIVA SOFTWARE WEB-BASED INTEGRATA E COMPRENSIVA DEI RELATIVI SERVIZI DI ASSISTENZA MANUTENZIONE E CONSERVAZIONE A NORMA - COMUNE DI RESANA CIG DERIVATO DA 71634276F6.,1,48064.1,2018-01-01,2,15,72,1
15368,887887091,5660,143344,FORNITURA DI UNO SCUOLABUS DA POSTI 32+1+1,1,80000.0,2017-12-27,3,15,34,1
15380,3705817,21065,124733,ASSICURAZIONE ALUNNI E OPERATORI 2017-2018 CIG Z991F124D3,1,30000.0,2017-06-26,2,103,66,1
15882,392115209,30006,32168,Concessione servizio di Tesoreria - Comuni aderenti alla SUA - Lotto n° 14 Comune di San Polo di Piave,1,30000.0,2016-01-01,2,18,66,1
16050,10715180,26454,94611,Pagamento Fattura n.28 PA del 31/03/2016-NOLEGGIO BUS del 22/03/2016 FABBRICO,1,550.0,2016-05-07,2,90,60,1
16164,12967721,13164,310387,"Affidamento di servizi socio-educativi per la prima infanzia sul territorio comunale - Asilo Nido ""Comune/Ipab",1,382800.0,2016-09-01,2,15,80,1
